20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
29,29,29,29,29,29,28,29,28,29,29,29,28,29,28,29,28,29,28,29
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,28,28,29,28,29,28,29,28,28,28,29,28,28,28,28,28,28,28,28
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,28,28,28,28,29,28,29,29,28,28,28,28,29,28,28,28,28,28,28
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,28,28,29,28,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,28,28,28,28,28,28,28,29,28,28,29,28,29,28,28,28,28,28,28
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
29,28,28,28,29,29,28,29,28,28,28,29,28,28,28,28,28,28,28,29
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,28,28,29,28,28,28,29,28,28,28,29,28,28,28,28,28,28,28,28
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,28,28,28,28,29,28,28,29,28,28,28,28,29,28,28,28,28,28,28
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,29,28,29,28,29,28,29,28,28,28,28,28,28,28,28,28,28,28,28
20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
